date,paire,action,prix,raison,donnees
25/09 08:48,ETHUSD,SKIP,2679.53,"tendance trop faible ou baissière (EMA20 2680.77, EMA50 2688.15); EMA20 qui s'essouffle (-0.58 sur 3 bougies); prix sous l'EMA rapide; RSI 49 dans la zone 45-70","{""ema_fast"": 2680.765857331005, ""ema_slow"": 2688.1542579335623, ""rsi"": 48.616469383226146, ""atr"": 18.68342646633445}"
25/09 08:48,-,EQUITY,49.66604679473532,capital simulé 49.67 USD dont 24.90 USD de cash,{}
25/09 09:43,SOLUSD,HOLD,116.08,"position gardée : stop 114.91, objectif 120.73, latent -0.45 USD",{}
25/09 09:43,XBTUSD,SKIP,84024.0,"tendance trop faible ou baissière (EMA20 84241.11, EMA50 84429.58); EMA20 qui s'essouffle (-40.44 sur 3 bougies); prix sous l'EMA rapide; RSI 45 hors zone 45-70","{""ema_fast"": 84241.10654339705, ""ema_slow"": 84429.57506137111, ""rsi"": 44.73259752835963, ""atr"": 465.438280822431}"
25/09 09:43,ETHUSD,SKIP,2673.99,"tendance trop faible ou baissière (EMA20 2680.12, EMA50 2687.60); EMA20 qui s'essouffle (-0.91 sur 3 bougies); prix sous l'EMA rapide; RSI 46 dans la zone 45-70","{""ema_fast"": 2680.120537585195, ""ema_slow"": 2687.5987968381305, ""rsi"": 45.788867864056215, ""atr"": 18.25461029016769}"
25/09 09:43,-,EQUITY,49.65325221226861,capital simulé 49.65 USD dont 24.90 USD de cash,{}
25/09 10:46,SOLUSD,HOLD,116.98,"position gardée : stop 114.91, objectif 120.73, latent -0.25 USD",{}
25/09 10:46,XBTUSD,SKIP,84024.2,"tendance trop faible ou baissière (EMA20 84220.45, EMA50 84413.68); EMA20 qui s'essouffle (-52.63 sur 3 bougies); prix sous l'EMA rapide; RSI 45 hors zone 45-70","{""ema_fast"": 84220.44877735923, ""ema_slow"": 84413.67800014079, ""rsi"": 44.7370714181289, ""atr"": 456.6712607636858}"
25/09 10:46,ETHUSD,SKIP,2671.23,"tendance trop faible ou baissière (EMA20 2679.27, EMA50 2686.96); EMA20 qui s'essouffle (-1.62 sur 3 bougies); prix sous l'EMA rapide; RSI 44 hors zone 45-70","{""ema_fast"": 2679.2738197199383, ""ema_slow"": 2686.956883236633, ""rsi"": 44.403280706200945, ""atr"": 17.87856669801284}"
25/09 10:46,-,EQUITY,49.84517094926932,capital simulé 49.85 USD dont 24.90 USD de cash,{}
25/09 11:48,SOLUSD,HOLD,118.28,"position gardée : stop 114.91, objectif 120.73, latent +0.02 USD",{}
25/09 11:48,XBTUSD,SKIP,84403.4,"tendance trop faible ou baissière (EMA20 84237.87, EMA50 84413.27); EMA20 qui s'essouffle (-26.09 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 53 dans la zone 45-70","{""ema_fast"": 84237.872703325, ""ema_slow"": 84413.27494131167, ""rsi"": 52.57570131381092, ""atr"": 457.16617070913617}"
25/09 11:48,ETHUSD,SKIP,2690.56,"tendance trop faible ou baissière (EMA20 2680.35, EMA50 2687.10); EMA20 qui s'essouffle (-0.42 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 55 dans la zone 45-70","{""ema_fast"": 2680.348694032325, ""ema_slow"": 2687.0981819332324, ""rsi"": 54.73444462608289, ""atr"": 18.352240505297623}"
25/09 11:48,-,EQUITY,50.12238690271477,capital simulé 50.12 USD dont 24.90 USD de cash,{}
25/09 12:25,SOLUSD,SECURE,118.99,+1.5 ATR atteint → stop remonté à 118.30 (position sans risque de perte),"{""position"": 1}"
25/09 12:50,SOLUSD,HOLD,119.11,"position gardée : stop 118.30, objectif 120.73, latent +0.20 USD",{}
25/09 12:50,XBTUSD,SKIP,84561.4,"tendance trop faible ou baissière (EMA20 84268.68, EMA50 84419.08); EMA20 encore montante (+27.58 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 55 dans la zone 45-70","{""ema_fast"": 84268.68482681786, ""ema_slow"": 84419.08376714269, ""rsi"": 55.413509238408864, ""atr"": 455.38287280134153}"
25/09 12:50,ETHUSD,SKIP,2704.06,"tendance trop faible ou baissière (EMA20 2682.61, EMA50 2687.76); EMA20 encore montante (+2.49 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 60 dans la zone 45-70","{""ema_fast"": 2682.606913648294, ""ema_slow"": 2687.7633512691905, ""rsi"": 60.28505396333497, ""atr"": 18.962080469204928}"
25/09 12:50,-,EQUITY,50.299378626837644,capital simulé 50.30 USD dont 24.90 USD de cash,{}
25/09 13:05,SOLUSD,TAKE_PROFIT,120.72576427857233,"objectif atteint → vente à 120.73, résultat +0.58 USD","{""position"": 1, ""pnl"": 0.5795692925320708}"
25/09 13:52,XBTUSD,SKIP,84705.1,"tendance trop faible ou baissière (EMA20 84310.25, EMA50 84430.30); EMA20 encore montante (+89.80 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 58 dans la zone 45-70","{""ema_fast"": 84310.24817664473, ""ema_slow"": 84430.30008999974, ""rsi"": 57.88201438161555, ""atr"": 456.776953315531}"
25/09 13:52,ETHUSD,SKIP,2713.26,"tendance trop faible ou baissière (EMA20 2685.53, EMA50 2688.76); EMA20 encore montante (+6.25 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 64 dans la zone 45-70","{""ema_fast"": 2685.526255205599, ""ema_slow"": 2688.7632198468687, ""rsi"": 63.56405524102434, ""atr"": 19.452646149976}"
25/09 13:52,SOLUSD,ENTER,121.18105999999999,"tendance nette (EMA20 116.87 > EMA50 116.32 de 0.1%+); EMA20 encore montante (+0.51 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 70 dans la zone 45-70 → achat de 0.208694 à 121.18 (25.39 USD frais compris), stop 119.00, objectif 124.46","{""qty"": 0.20869420226449611, ""stop"": 118.9983110354968, ""tp"": 124.45518344675477, ""ema_fast"": 116.87103411121288, ""ema_slow"": 116.31809084627663, ""rsi"": 69.71534468638862, ""atr"": 1.0913744822515963}"
25/09 13:52,-,EQUITY,50.47841015394701,capital simulé 50.48 USD dont 25.19 USD de cash,{}
25/09 14:15,SOLUSD,STOP_LOSS,118.8793127244613,"stop touché → vente à 118.88, résultat -0.68 USD","{""position"": 2, ""pnl"": -0.6807581434072176}"
25/09 14:24,XBTUSD,SKIP,84574.5,"tendance trop faible ou baissière (EMA20 84335.42, EMA50 84435.95); EMA20 encore montante (+97.54 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 55 dans la zone 45-70","{""ema_fast"": 84335.41501696428, ""ema_slow"": 84435.95498843107, ""rsi"": 54.90673692779617, ""atr"": 472.250028078707}"
25/09 14:24,ETHUSD,SKIP,2716.81,"tendance trop faible ou baissière (EMA20 2688.51, EMA50 2689.86); EMA20 encore montante (+8.16 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 65 dans la zone 45-70","{""ema_fast"": 2688.5056594717325, ""ema_slow"": 2689.863093578362, ""rsi"": 64.77268251856009, ""atr"": 20.206742853549162}"
25/09 14:24,SOLUSD,SKIP,120.8,tendance nette (EMA20 117.25 > EMA50 116.49 de 0.1%+); EMA20 encore montante (+0.80 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 76 hors zone 45-70,"{""ema_fast"": 117.24522133871642, ""ema_slow"": 116.4938519895599, ""rsi"": 75.88254334904478, ""atr"": 1.2319905906621966}"
25/09 14:24,-,EQUITY,49.89881114912485,capital simulé 49.90 USD dont 49.90 USD de cash,{}
25/09 15:57,XBTUSD,SKIP,84443.8,"tendance trop faible ou baissière (EMA20 84345.74, EMA50 84436.26); EMA20 encore montante (+77.05 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 84345.73739630102, ""ema_slow"": 84436.26263594361, ""rsi"": 52.02463101052467, ""atr"": 495.54645464451323}"
25/09 15:57,ETHUSD,SKIP,2716.92,"tendance trop faible ou baissière (EMA20 2691.21, EMA50 2690.92); EMA20 encore montante (+8.60 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 65 dans la zone 45-70","{""ema_fast"": 2691.2117871410915, ""ema_slow"": 2690.924148732152, ""rsi"": 64.81163278990985, ""atr"": 21.424118364009935}"
25/09 15:57,SOLUSD,SKIP,120.71,tendance nette (EMA20 117.58 > EMA50 116.66 de 0.1%+); EMA20 encore montante (+0.95 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 75 hors zone 45-70,"{""ema_fast"": 117.57520025883866, ""ema_slow"": 116.6591911272241, ""rsi"": 74.9746820057447, ""atr"": 1.326848405614897}"
25/09 15:57,-,EQUITY,49.89881114912485,capital simulé 49.90 USD dont 49.90 USD de cash,{}
25/09 16:59,XBTUSD,SKIP,83909.4,"tendance trop faible ou baissière (EMA20 84304.18, EMA50 84415.60); EMA20 qui s'essouffle (-6.07 sur 3 bougies); prix sous l'EMA rapide; RSI 42 hors zone 45-70","{""ema_fast"": 84304.18145379615, ""ema_slow"": 84415.60135610247, ""rsi"": 42.25756147502665, ""atr"": 534.4359935984766}"
25/09 16:59,ETHUSD,SKIP,2694.62,"tendance trop faible ou baissière (EMA20 2691.54, EMA50 2691.07); EMA20 encore montante (+6.01 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 2691.53637884194, ""ema_slow"": 2691.0690840759835, ""rsi"": 52.20872256847164, ""atr"": 22.92382419515209}"
25/09 16:59,SOLUSD,ENTER,120.44031999999999,"tendance nette (EMA20 117.76 > EMA50 116.77 de 0.1%+); EMA20 encore montante (+0.88 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 64 dans la zone 45-70 → achat de 0.207152 à 120.44 (25.05 USD frais compris), stop 117.60, objectif 124.70","{""qty"": 0.2071516048326875, ""stop"": 117.59903010385804, ""tp"": 124.70225484421292, ""ema_fast"": 117.75565737704451, ""ema_slow"": 116.7694189261561, ""rsi"": 63.67181241462865, ""atr"": 1.4206449480709757}"
25/09 16:59,-,EQUITY,49.7990135268266,capital simulé 49.80 USD dont 24.85 USD de cash,{}
25/09 18:02,SOLUSD,HOLD,120.56,"position gardée : stop 117.60, objectif 124.70, latent -0.17 USD",{}
25/09 18:02,XBTUSD,SKIP,83777.5,"tendance trop faible ou baissière (EMA20 84227.97, EMA50 84374.99); EMA20 qui s'essouffle (-117.76 sur 3 bougies); prix sous l'EMA rapide; RSI 41 hors zone 45-70","{""ema_fast"": 84227.97438734786, ""ema_slow"": 84374.99040984326, ""rsi"": 40.62158719231065, ""atr"": 568.815729174196}"
25/09 18:02,ETHUSD,SKIP,2686.33,"tendance trop faible ou baissière (EMA20 2691.37, EMA50 2691.05); EMA20 encore montante (+0.16 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 2691.3725912969167, ""ema_slow"": 2691.0460403177394, ""rsi"": 48.16995913247871, ""atr"": 23.692021882554634}"
25/09 18:02,-,EQUITY,49.82380543089298,capital simulé 49.82 USD dont 24.85 USD de cash,{}
25/09 19:06,SOLUSD,HOLD,121.25,"position gardée : stop 117.60, objectif 124.70, latent -0.03 USD",{}
25/09 19:06,XBTUSD,SKIP,83732.6,"tendance trop faible ou baissière (EMA20 84180.80, EMA50 84349.80); EMA20 qui s'essouffle (-123.39 sur 3 bougies); prix sous l'EMA rapide; RSI 40 hors zone 45-70","{""ema_fast"": 84180.79587426712, ""ema_slow"": 84349.79862906519, ""rsi"": 39.92333219802453, ""atr"": 556.1146056617534}"
25/09 19:06,ETHUSD,SKIP,2682.69,"tendance trop faible ou baissière (EMA20 2690.55, EMA50 2690.72); EMA20 qui s'essouffle (-0.99 sur 3 bougies); prix sous l'EMA rapide; RSI 46 dans la zone 45-70","{""ema_fast"": 2690.545677840067, ""ema_slow"": 2690.718352462147, ""rsi"": 46.492652962019044, ""atr"": 23.141877462372147}"
25/09 19:06,-,EQUITY,49.966740038227535,capital simulé 49.97 USD dont 24.85 USD de cash,{}
25/09 19:22,SOLUSD,HOLD,121.05,"position gardée : stop 117.60, objectif 124.70, latent -0.07 USD",{}
25/09 19:22,XBTUSD,SKIP,83732.6,"tendance trop faible ou baissière (EMA20 84180.80, EMA50 84349.80); EMA20 qui s'essouffle (-123.39 sur 3 bougies); prix sous l'EMA rapide; RSI 40 hors zone 45-70","{""ema_fast"": 84180.79587426712, ""ema_slow"": 84349.79862906519, ""rsi"": 39.92333219802453, ""atr"": 556.1146056617534}"
25/09 19:22,ETHUSD,SKIP,2682.69,"tendance trop faible ou baissière (EMA20 2690.55, EMA50 2690.72); EMA20 qui s'essouffle (-0.99 sur 3 bougies); prix sous l'EMA rapide; RSI 46 dans la zone 45-70","{""ema_fast"": 2690.545677840067, ""ema_slow"": 2690.718352462147, ""rsi"": 46.492652962019044, ""atr"": 23.141877462372147}"
25/09 19:22,-,EQUITY,49.925309717261,capital simulé 49.93 USD dont 24.85 USD de cash,{}
25/09 20:09,SOLUSD,HOLD,121.38,"position gardée : stop 117.60, objectif 124.70, latent -0.01 USD",{}
25/09 20:09,XBTUSD,SKIP,83765.4,"tendance trop faible ou baissière (EMA20 84141.23, EMA50 84326.88); EMA20 qui s'essouffle (-134.16 sur 3 bougies); prix sous l'EMA rapide; RSI 41 hors zone 45-70","{""ema_fast"": 84141.23436243217, ""ema_slow"": 84326.88103576854, ""rsi"": 40.724902512843045, ""atr"": 541.8849909716288}"
25/09 20:09,ETHUSD,SKIP,2685.24,"tendance trop faible ou baissière (EMA20 2690.04, EMA50 2690.50); EMA20 qui s'essouffle (-1.86 sur 3 bougies); prix sous l'EMA rapide; RSI 48 dans la zone 45-70","{""ema_fast"": 2690.040375188632, ""ema_slow"": 2690.5035151106936, ""rsi"": 47.86230846043426, ""atr"": 22.596743357916978}"
25/09 20:09,-,EQUITY,49.99366974685579,capital simulé 49.99 USD dont 24.85 USD de cash,{}
25/09 20:20,SOLUSD,SECURE,122.83,+1.5 ATR atteint → stop remonté à 121.53 (position sans risque de perte),"{""position"": 3}"
25/09 21:12,SOLUSD,HOLD,121.96,"position gardée : stop 121.53, objectif 124.70, latent +0.11 USD",{}
25/09 21:12,XBTUSD,SKIP,83952.6,"tendance trop faible ou baissière (EMA20 84123.27, EMA50 84312.20); EMA20 qui s'essouffle (-104.71 sur 3 bougies); prix sous l'EMA rapide; RSI 45 dans la zone 45-70","{""ema_fast"": 84123.26918505767, ""ema_slow"": 84312.20334809134, ""rsi"": 45.217469508335654, ""atr"": 523.5360630450839}"
25/09 21:12,ETHUSD,SKIP,2692.85,"tendance trop faible ou baissière (EMA20 2690.31, EMA50 2690.60); EMA20 qui s'essouffle (-1.06 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 2690.3079585040005, ""ema_slow"": 2690.5955341259605, ""rsi"": 51.825493592336954, ""atr"": 21.954118832351472}"
25/09 21:12,-,EQUITY,50.113817677658744,capital simulé 50.11 USD dont 24.85 USD de cash,{}
25/09 21:40,SOLUSD,STOP_SECURISE,121.40771212851404,"stop touché → vente à 121.41, résultat -0.00 USD","{""position"": 3, ""pnl"": -3.552713678800501e-15}"
25/09 22:14,XBTUSD,SKIP,84008.8,"tendance trop faible ou baissière (EMA20 84112.37, EMA50 84300.31); EMA20 qui s'essouffle (-68.43 sur 3 bougies); prix sous l'EMA rapide; RSI 47 dans la zone 45-70","{""ema_fast"": 84112.36735790932, ""ema_slow"": 84300.30517757795, ""rsi"": 46.52775478118414, ""atr"": 495.3834871132918}"
25/09 22:14,ETHUSD,SKIP,2692.5,"tendance trop faible ou baissière (EMA20 2690.52, EMA50 2690.67); EMA20 qui s'essouffle (-0.03 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 2690.5167243607625, ""ema_slow"": 2690.6702190621972, ""rsi"": 51.63110443030079, ""atr"": 20.80739605861209}"
25/09 22:14,SOLUSD,SKIP,121.83,tendance nette (EMA20 119.28 > EMA50 117.68 de 0.1%+); EMA20 encore montante (+0.82 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 71 hors zone 45-70,"{""ema_fast"": 119.2759657002234, ""ema_slow"": 117.68485780452708, ""rsi"": 71.33697321735136, ""atr"": 1.5120753352070455}"
25/09 22:14,-,EQUITY,49.89881114912485,capital simulé 49.90 USD dont 49.90 USD de cash,{}
25/09 22:35,XBTUSD,SKIP,84008.8,"tendance trop faible ou baissière (EMA20 84112.37, EMA50 84300.31); EMA20 qui s'essouffle (-68.43 sur 3 bougies); prix sous l'EMA rapide; RSI 47 dans la zone 45-70","{""ema_fast"": 84112.36735790932, ""ema_slow"": 84300.30517757795, ""rsi"": 46.52775478118414, ""atr"": 495.3834871132918}"
25/09 22:35,ETHUSD,SKIP,2692.5,"tendance trop faible ou baissière (EMA20 2690.52, EMA50 2690.67); EMA20 qui s'essouffle (-0.03 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 2690.5167243607625, ""ema_slow"": 2690.6702190621972, ""rsi"": 51.63110443030079, ""atr"": 20.80739605861209}"
25/09 22:35,SOLUSD,SKIP,121.83,tendance nette (EMA20 119.28 > EMA50 117.68 de 0.1%+); EMA20 encore montante (+0.82 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 71 hors zone 45-70,"{""ema_fast"": 119.2759657002234, ""ema_slow"": 117.68485780452708, ""rsi"": 71.33697321735136, ""atr"": 1.5120753352070455}"
25/09 22:35,-,EQUITY,49.89881114912485,capital simulé 49.90 USD dont 49.90 USD de cash,{}
26/09 00:19,XBTUSD,SKIP,83789.6,"tendance trop faible ou baissière (EMA20 84060.19, EMA50 84263.82); EMA20 qui s'essouffle (-63.08 sur 3 bougies); prix sous l'EMA rapide; RSI 42 hors zone 45-70","{""ema_fast"": 84060.19187348132, ""ema_slow"": 84263.82342613029, ""rsi"": 42.18010642510934, ""atr"": 472.43525164360364}"
26/09 00:19,ETHUSD,SKIP,2681.32,"tendance trop faible ou baissière (EMA20 2689.11, EMA50 2690.06); EMA20 qui s'essouffle (-1.20 sur 3 bougies); prix sous l'EMA rapide; RSI 46 dans la zone 45-70","{""ema_fast"": 2689.105164386021, ""ema_slow"": 2690.0635278617287, ""rsi"": 45.623635993816045, ""atr"": 19.320509866864494}"
